date,ticker,open,high,low,close
01/31/2022 00:00:00,MSFT,335.35,338.00,276.05,310.98
12/31/2021 00:00:00,MSFT,335.13,344.30,317.25,336.32
11/30/2021 00:00:00,MSFT,331.36,349.67,326.37,330.59
10/31/2021 00:00:00,MSFT,282.12,332.00,280.25,331.62
09/30/2021 00:00:00,MSFT,302.87,305.32,281.62,281.92
08/31/2021 00:00:00,MSFT,286.36,305.84,283.74,301.88
07/31/2021 00:00:00,MSFT,269.61,290.15,269.60,284.91
06/30/2021 00:00:00,MSFT,251.23,271.65,243.00,270.90
05/31/2021 00:00:00,MSFT,253.40,254.35,238.07,249.68
04/30/2021 00:00:00,MSFT,238.47,263.19,238.05,252.18
03/31/2021 00:00:00,MSFT,235.90,241.05,224.26,235.77
02/28/2021 00:00:00,MSFT,235.06,246.13,227.88,232.38
01/31/2021 00:00:00,MSFT,222.53,242.64,211.94,231.96
12/31/2020 00:00:00,MSFT,214.51,227.18,209.11,222.42
11/30/2020 00:00:00,MSFT,204.29,228.12,200.12,214.07
10/31/2020 00:00:00,MSFT,213.49,225.21,199.62,202.47
09/30/2020 00:00:00,MSFT,225.51,232.86,196.25,210.33
08/31/2020 00:00:00,MSFT,211.52,231.15,203.14,225.53
07/31/2020 00:00:00,MSFT,203.14,216.38,197.51,205.01
06/30/2020 00:00:00,MSFT,182.54,204.40,181.35,203.51
05/31/2020 00:00:00,MSFT,175.80,187.51,173.80,183.25
04/30/2020 00:00:00,MSFT,153.00,180.40,150.36,179.21
03/31/2020 00:00:00,MSFT,165.31,175.00,132.52,157.71
02/29/2020 00:00:00,MSFT,170.43,190.70,152.00,162.01
01/31/2020 00:00:00,MSFT,158.78,174.05,156.51,170.23
08/31/2023 00:00:00,NFLX,437.37,445.25,418.78,427.78
07/31/2023 00:00:00,NFLX,439.76,485.00,411.88,438.97
06/30/2023 00:00:00,NFLX,397.41,448.65,393.08,440.49
05/31/2023 00:00:00,NFLX,329.44,405.11,315.62,395.23
04/30/2023 00:00:00,NFLX,341.83,349.80,316.10,329.93
03/31/2023 00:00:00,NFLX,321.55,345.84,285.33,345.48
02/28/2023 00:00:00,NFLX,353.86,379.43,314.30,322.13
01/31/2023 00:00:00,NFLX,298.06,369.02,288.70,353.86
12/31/2022 00:00:00,NFLX,303.99,332.72,273.41,294.88
11/30/2022 00:00:00,NFLX,296.17,312.71,252.09,305.53
10/31/2022 00:00:00,NFLX,237.85,305.63,211.73,291.88
09/30/2022 00:00:00,NFLX,220.72,250.49,214.69,235.44
08/31/2022 00:00:00,NFLX,223.10,251.99,218.74,223.56
07/31/2022 00:00:00,NFLX,176.49,230.75,169.70,224.90
06/30/2022 00:00:00,NFLX,198.70,207.38,164.28,174.87
05/31/2022 00:00:00,NFLX,191.71,204.38,162.71,197.44
04/30/2022 00:00:00,NFLX,376.80,396.02,185.60,190.36
